dealId,dealStatus,title,primaryCategory,price,shipping
267189,Declined,Abbie & Ellie 2-in-1 Hobo Bags | 10 Colors!,Handbags,39.99,8.95
187590,Cancelled,Amber Sunglasses | 5 Colors!,Sunglasses,6.99,3.49
792394,Declined,ATTN DANI: Aubrey Sunnies,Sunglasses,8.99,2.99
625161,Declined,Boutique Earring Collection,Earrings,8.99,2.99
625174,Declined,Boutique Earring Collection,Earrings,8.99,2.99
625176,Declined,Boutique Earring Collection,Earrings,8.99,2.99
679155,Declined,Boutique Earring Collection,Earrings,8.99,2.99
369701,Cancelled,Boutique Earring Collection | 14 Styles,Earrings,7.99,2.99
361948,Cancelled,Boutique Earrings,Earrings,7.99,2.99
458775,Declined,Boutique Earrings | 12 Styles,Earrings,7.99,2.99
351676,Cancelled,Boutique Earrings | 20 Styles!,Earrings,7.99,2.99
552013,Declined,Boutique Layering Bracelets,Bracelets,9.99,2.99
552014,Declined,Boutique Layering Bracelets,Bracelets,9.99,2.99
552015,Declined,Boutique Layering Bracelets,Bracelets,9.99,2.99
506720,Declined,Boutique Necklace Collection,Necklaces,12.99,2.99
518419,Declined,Boutique Necklace Collection,Necklaces,12.99,2.99
536262,Declined,Boutique Necklace Collection,Necklaces,12.99,2.99
399638,Cancelled,Boutique Sunglasses,Sunglasses,8.99,2.99
515744,Declined,Boutique Sunglasses,Sunglasses,8.99,2.99
536233,Cancelled,Boutique Sunglasses,Sunglasses,8.99,2.99
230652,Cancelled,Boutique Sunglasses | 12 Styles!,Sunglasses,6.99,3.49
187593,Declined,Brooke Sunglasses | 2 Colors!,Sunglasses,6.99,3.49
368829,Cancelled,Chelsea Tote Set,Handbags,39.99,6.99
367602,Cancelled,Classic Black Sunnies | 12 Styles,Sunglasses,8.99,2.99
313737,Cancelled,Classic Black Sunnies | 8 Styles,Sunglasses,8.99,2.99
215380,Declined,Clear Aviator Sunglasses,Sunglasses,7.99,3.49
218534,Declined,Clear UV100 Aviator Sunglasses,Sunglasses,7.99,3.49
85008,Declined,Clover Layering Bracelets,Bracelets,8.99,2.99
536274,Declined,Dazzling Dangle Earrings,Earrings,7.99,2.99
117522,Declined,DELICATE BOHO FILIGREE EARRINGS,Earrings,4.99,1.99
101380,Cancelled,Delicate Open Tip Layering Bracelets,Bracelets,6.99,2.99
124184,Declined,Fall Honeycomb Knit Infinity Scarves,Scarves,7.99,2.99
536264,Cancelled,Fiesta Earrings,Earrings,7.99,2.99
180690,Declined,Fur Pom-Pom Key Fobs - 5 Colors!,Bracelets,7.99,2.99
536261,Declined,Garden Party Necklace Collection,Necklaces,12.99,2.99
536241,Declined,Lake Side Sunnies,Sunglasses,8.99,2.99
163520,Declined,Leather Tassel Keychain,Bracelets,9.99,2.99
198430,Declined,Lindsay Sunglasses | 4 colors,Sunglasses,7.99,3.49
536144,Declined,Margo Travel Wallets,Handbags,14.99,2.99
189865,Cancelled,Marin Sunglasses | 8 Colors,Sunglasses,7.99,3.49
300261,Cancelled,Mini Envelope Card Wallet | 11 Colors!,Handbags,9.99,2.99
171042,Declined,Patriotic Election Year Scarves,Scarves,8.99,2.99
218539,Cancelled,Penelope Sunglasses | 5 Colors,Sunglasses,8.99,3.49
326690,Cancelled,Pool Side Sunnies | 6 Styles!,Sunglasses,8.99,2.99
506749,Cancelled,Purse Blowout Sale,Handbags,19.99,7.95
219991,Cancelled,Rachel Spring Wallet | 6 Colors,Handbags,14.99,3.49
853630,New,REQUESTED FOR 8/14: Enchanting Earrings,Earrings,9.99,2.99
853595,New,REQUESTED FOR CAMPAIGN Picnic Perfect Earrings,Earrings,9.99,0
853631,New,REQUESTED REBOOK: Chandelier Crystal Necklaces,Necklaces,12.99,2.99
853602,New,REQUESTED REBOOK: Minimalist Necklace Collection,Necklaces,12.99,2.99
853599,New,REQUESTED REBOOK: Sangria Necklace Collection,Necklaces,12.99,2.99
506746,Declined,Ribbon Tie Caps,Hair Fashion,6.99,2.99
187594,Declined,Riley Sunglasses | 4 Colors!,Sunglasses,6.99,3.49
536258,Declined,Romantic Necklace Collection,Necklaces,9.99,2.99
315827,Cancelled,Rose & Black Sunnies | 4 Styles,Sunglasses,8.99,2.99
502697,Cancelled,Rose Gold Sunglasses,Sunglasses,8.99,2.99
196521,Declined,Rustic Boutique Jewelry,Earrings,3.99,2.99
160634,Declined,Rustic Shotgun Shell Earrings,Earrings,5.99,2.99
183128,Declined,Scarf Blowout Sale,Scarves,4.99,2.99
208716,Cancelled,Sophia Sunglasses | 6 Colors,Sunglasses,7.99,2.99
318959,Cancelled,Spring Break Sunnies | 18 Styles!,Sunglasses,8.99,2.99
96061,Cancelled,Spring Scarf Blowout Sale - 5 Styles!,Scarves,5.99,2.99
313716,Cancelled,Spring Sunglasses | 6 Styles,Sunglasses,8.99,2.99
770118,Cancelled,Spring Sunnies Collection,Sunglasses,8.99,2.99
105631,Cancelled,Starfish Cuff Bracelet,Bracelets,9.99,2.99
212191,Cancelled,Starfish Cuff Bracelet | 2 Colors,Bracelets,12.99,2.99
518417,Declined,Starry Nights Necklace Collection,Necklaces,12.99,2.99
465589,Cancelled,Stella Pocket Hobo,Handbags,39.99,6.99
313710,Cancelled,Stunning Sunglasses | 7 Styles,Sunglasses,8.99,2.99
506743,Declined,Stunning Sunnies,Sunglasses,8.99,2.99
506744,Declined,Stunning Sunnies,Sunglasses,8.99,2.99
536239,Declined,Stunning Sunnies,Sunglasses,8.99,2.99
397888,Declined,Summer Accessories Blowout Sale!,Sunglasses,4.99,2.99
208802,Cancelled,Summer Wallet & Sunnies Set,Fashion Combo,12.99,3.49
136869,Declined,Tess Knit Infinity Scarves,Scarves,9.99,2.99
218515,Declined,Tori Suede Choker | 2 Colors,Necklaces,8.99,3.49
183125,Declined,Trendy Boutique Sunglasses | 6 Styles!,Sunglasses,6.99,2.99
171044,Cancelled,Trendy Winter Sunglasses - 4 Styles!,Sunglasses,6.99,2.99
351023,Cancelled,Vibrant Summer Handbags,Handbags,39.99,8.95
155163,Declined,Vintage Bullet Earrings,Earrings,5.99,2.99
208893,Declined,Wallet & Sunnies Sets | 8 Options,Handbags,14.99,3.49
187180,Declined,Wire Frame Cat Eye Sunglasses,Sunglasses,6.99,2.99
37441,Active,Vintage Inspired Plastic Aviator Sunglasses,Sunglasses,9.99,2.99
37371,Active,Cozy Fall Knit Infinity Scarves,Scarves,17.99,2.99
37630,Active,Designer Inspired Aviator Sunglasses,Sunglasses,9.99,2.99
38460,Cancelled,CAT EYE SUNGLASSES,Sunglasses,8.99,2.99
38459,Active,DESIGNER INSPIRED CARRY ALL TOTE BAG,Handbags,29.99,5.99
37638,Cancelled,Celebrity Inspired Sunglasses,Sunglasses,9.99,2.99
38458,Active,DELICATE BOHO FILIGREE EARRINGS,Earrings,4.99,1.99
37097,Active,Cozy Fall  Knit Infinity Scarves,Scarves,14.99,2.99
